Winning Percentage,Average PER,Gini Coefficient of PER,Robin Hood Coefficient of PER,S.D. of PER,Gini Coefficient of Salary,Robin Hood Coefficient of Salary,S.D. of Salary
0.658536585,20.42777778,0.4234,0.324,27.68,0.5977,0.488,6781989.256
0.451219512,11.83333333,0.255,0.179,6.48,0.6029,0.4622,5710648.273
0.585365854,15.33684211,0.2686,0.1888,8.12,0.6444,0.5353,7350715.258
0.5,12.8,0.1975,0.1568,4.73,0.6338,0.4774,7108818.296
0.463414634,12.84444444,0.2058,0.149,4.89,0.3795,0.2926,2979686.191
0.182926829,14.67894737,0.1637,0.1153,4.96,0.4726,0.3608,2826630.505
0.5,12.81,0.1727,0.1284,4.10,0.528,0.4153,3120644.339
0.402439024,11.55882353,0.2665,0.2139,5.63,0.5247,0.4038,4762564.456
0.512195122,11.16315789,0.3391,0.2556,8.34,0.5519,0.4469,5386981.179
0.37804878,11.63157895,0.2037,0.1418,7.47,0.51,0.38,3402621.428
0.487804878,12.68823529,0.2308,0.1576,5.65,0.4696,0.3325,4053685.304
0.195121951,13.148,0.2017,0.1461,4.79,0.5604,0.4349,3643023.326
0.353658537,12.20625,0.2222,0.1615,4.96,0.4534,0.3549,3837227.973
0.37804878,12.3875,0.2197,0.163,5.22,0.4335,0.3091,3143593.553
0.329268293,12.84736842,0.3292,0.2349,9.13,0.5598,0.4275,4344819.877
0.414634146,12.45714286,0.2577,0.1784,5.96,0.6574,0.5294,4209631.272
0.548780488,10.3047619,0.3592,0.2485,9.79,0.6217,0.5288,4443722.188
0.365853659,12.02857143,0.2936,0.2085,6.89,0.6148,0.4922,4517387.996
0.414634146,12.83461538,0.2184,0.1611,5.29,0.6821,0.5534,6035702.947
0.658536585,13.00526316,0.2449,0.1655,6.94,0.5928,0.4807,6561361.687
0.451219512,13.20555556,0.1864,0.1189,4.99,0.6797,0.5744,7100512.755
0.207317073,13.01,0.1621,0.1197,4.08,0.6732,0.5668,6846644.274
0.390243902,16.11875,0.3119,0.224,10.77,0.6008,0.4519,5852550.57
0.37804878,13.5,0.1591,0.1204,3.93,0.6246,0.4975,7628325.276
0.731707317,13.375,0.2329,0.1672,6.07,0.5673,0.4786,5414953.038
0.719512195,9.866666667,0.3857,0.2603,10.88,0.6472,0.5327,5535609.019
0.548780488,12.00952381,0.3255,0.2333,8.84,0.5123,0.4134,5601987.539
0.670731707,13.14117647,0.2936,0.229,7.51,0.5196,0.4316,6624480.625
0.573170732,12.39473684,0.2938,0.2163,7.23,0.6362,0.4809,6464879.726
0.243902439,12.22222222,0.1783,0.1335,3.99,0.5376,0.4286,5187536.795
0.280487805,11.81875,0.1905,0.1425,4.07,0.5666,0.4424,5110382.255
0.304878049,12.16,0.1754,0.1276,3.99,0.3795,0.2923,2319218.785
0.426829268,12.55882353,0.1998,0.1486,5.86,0.4519,0.3421,3075899.909
0.353658537,10.44210526,0.2651,0.1871,6.57,0.545,0.4231,5959713.825
0.414634146,10.73529412,0.2473,0.1825,6.13,0.5349,0.4016,5033423.628
0.231707317,9.9,0.2057,0.1488,7.92,0.6658,0.513,3221069.729
0.219512195,9.832,0.2403,0.1673,7.40,0.583,0.4538,2445241.9
0.12195122,11.8,0.2449,0.1718,5.38,0.5385,0.4064,3062033.395
0.341463415,13.39047619,0.2255,0.1554,5.55,0.5873,0.4725,3458923.332
0.304878049,12.04375,0.159,0.1172,3.48,0.4011,0.3167,2476596.087
0.585365854,13.46,0.1674,0.1215,4.14,0.504,0.387,3637371.09
0.475609756,9.813043478,0.3196,0.2363,7.65,0.5023,0.3594,3188049.607
0.280487805,11.77391304,0.2159,0.1471,5.22,0.6468,0.5126,4445660.092
0.292682927,12.16666667,0.2198,0.1497,5.61,0.5536,0.4212,4469316.389
0.402439024,11.08666667,0.255,0.1917,5.22,0.5058,0.409,4633248.642
0.658536585,12.61333333,0.2123,0.1528,4.96,0.4868,0.3888,5168173.787
0.62195122,13.22222222,0.1716,0.1228,4.22,0.4638,0.356,4862078.745
0.536585366,11.8625,0.2498,0.1679,6.06,0.425,0.3153,2809827.704
0.5,13.54,0.1964,0.1472,5.16,0.4902,0.3607,7175845.175
0.341463415,13.33529412,0.1649,0.1212,4.24,0.2934,0.2246,2148635.278
